Local Time,Volume
23:00,8512.972963602082
00:00,6926.205051479208
01:00,6740.818540457131
02:00,7778.511999936863
03:00,8733.632629211237
04:00,7035.446973002984
05:00,7019.171779434875
06:00,8917.991874451207
07:00,7698.254942558951
08:00,7382.4107416627885
09:00,7868.003180694241
10:00,7701.528454660294
11:00,8237.53921982969
12:00,6872.867896736835
13:00,7807.885512147665
14:00,8342.997259811742
15:00,6996.447593604127
16:00,8805.53945622835
17:00,6075.889192344015
18:00,7735.612312519231
19:00,8653.979384931961
20:00,6347.461813642303
21:00,7378.272844107235
22:00,7654.764523755785
