Local Time,Volume
23:00,9420.863044915804
00:00,8225.341898884222
01:00,8423.148893693009
02:00,7227.568769504017
03:00,8640.94493586111
04:00,8027.911680923588
05:00,6633.503648808188
06:00,8001.873814611176
07:00,9428.830587402581
08:00,8333.745371519755
09:00,7773.136748954532
10:00,6651.091970962122
11:00,8394.134756310425
12:00,7510.8599360159305
13:00,7345.535112154202
14:00,6726.299323231015
15:00,10147.458751676497
16:00,8434.807880714283
17:00,9345.365100021862
18:00,8447.234849373863
19:00,7905.580676499651
20:00,7091.54566032005
21:00,6445.624930058408
22:00,7047.527486589766
