Local Time,Volume
23:00,7994.25803096548
00:00,7848.867216017636
01:00,7920.746377355664
02:00,9362.94082272372
03:00,8776.175430385514
04:00,9127.292464710998
05:00,7678.507829821584
06:00,10230.731962942722
07:00,8647.513001002517
08:00,7868.34007859232
09:00,7210.669550036956
10:00,8547.022985654443
11:00,7402.825192381367
12:00,11245.634583936897
13:00,9758.733087555107
14:00,9274.424990739564
15:00,6269.901915782035
16:00,10477.848680442392
17:00,8770.702234947172
18:00,9437.240164245746
19:00,8186.868016323586
20:00,7885.854782033137
21:00,7784.887860782457
22:00,9092.695742844859
