Local Time,Volume
23:00,6200.517716302256
00:00,3919.5955762912304
01:00,5831.0996333518415
02:00,5387.599332397072
03:00,4374.220936127188
04:00,5959.056865207721
05:00,3924.5842278618043
06:00,4098.54719446785
07:00,5709.101915002171
08:00,5357.895087298847
09:00,5118.892106895599
10:00,5816.320726680694
11:00,6009.622906491361
12:00,5833.428527491553
13:00,5589.304850783671
14:00,5049.6139874385435
15:00,5721.020993422086
16:00,3932.512486049434
17:00,5911.631216286821
18:00,5804.66564101066
19:00,5891.136752923572
20:00,4226.087018608807
21:00,4586.346774932546
22:00,4934.877046096311
